User_ID,Age,Gender,Budget,Preferred_Climate,Interest,Travel_Duration,Accommodation_Preference,Transportation_Mode,Activity_Level,Food_Preference,Travel_Type,Destination
6253,46,Other,High,Warm,Adventure,Short (1-3 days),Resort,Train,High,Vegan,Solo,Australia
4685,62,Other,Medium,Tropical,Adventure,Long (8+ days),Airbnb,Cruise,Low,Vegetarian,Family,Mexico
1732,57,Male,High,Tropical,Nature,Medium (4-7 days),Airbnb,Flight,Low,Vegetarian,Couple,Costa Rica
4743,36,Female,Medium,Cold,History,Medium (4-7 days),Villa,Train,Low,Vegetarian,Couple,Italy
4522,63,Female,Medium,Cold,History,Short (1-3 days),Hotel,Train,Low,Vegan,Family,Canada
6341,57,Female,High,Tropical,Nightlife,Medium (4-7 days),Villa,Flight,Low,Vegan,Solo,Singapore
577,32,Other,Low,Cold,Nature,Long (8+ days),Resort,Train,High,Vegetarian,Solo,Iceland
5203,65,Other,Medium,Cold,Culture,Short (1-3 days),Resort,Cruise,Moderate,Vegetarian,Family,France
6364,19,Female,Low,Tropical,Culture,Long (8+ days),Airbnb,Train,High,Vegan,Couple,Vietnam
440,59,Other,Low,Cold,Nightlife,Medium (4-7 days),Resort,Car,Moderate,Vegan,Couple,Germany
2751,43,Female,Low,Tropical,Culture,Long (8+ days),Resort,Flight,Moderate,Vegan,Family,Vietnam
7488,34,Other,Low,Tropical,Adventure,Short (1-3 days),Guesthouse,Flight,Low,Vegetarian,Couple,Indonesia
5273,30,Other,High,Warm,History,Long (8+ days),Guesthouse,Cruise,Low,Vegan,Solo,Switzerland
5654,40,Male,High,Warm,Culture,Short (1-3 days),Villa,Car,Moderate,Vegetarian,Family,Thailand
4000,35,Male,Low,Warm,Nightlife,Short (1-3 days),Airbnb,Flight,Low,Non-Vegetarian,Couple,Japan
6034,22,Male,Low,Warm,Relaxation,Medium (4-7 days),Resort,Train,Low,Vegan,Couple,Australia
583,56,Other,High,Cold,History,Medium (4-7 days),Airbnb,Cruise,Moderate,Non-Vegetarian,Solo,Vietnam
9931,52,Male,High,Cold,Nightlife,Short (1-3 days),Airbnb,Car,Low,Vegan,Solo,Vietnam
7052,65,Female,Low,Warm,Culture,Medium (4-7 days),Resort,Car,Low,Non-Vegetarian,Family,Spain
8159,62,Male,Low,Tropical,Nature,Medium (4-7 days),Resort,Flight,High,Vegetarian,Couple,Thailand
9897,26,Male,Low,Cold,Culture,Short (1-3 days),Guesthouse,Car,Moderate,Vegan,Family,Finland
2250,58,Other,Low,Warm,Nightlife,Long (8+ days),Airbnb,Flight,High,Vegetarian,Solo,Australia
4641,30,Other,Low,Warm,Relaxation,Medium (4-7 days),Guesthouse,Flight,Low,Non-Vegetarian,Solo,Mexico
9486,29,Female,Medium,Warm,History,Long (8+ days),Guesthouse,Flight,Low,Vegan,Couple,Egypt
4948,49,Other,Low,Warm,Adventure,Medium (4-7 days),Villa,Train,High,Non-Vegetarian,Family,Thailand
9921,20,Male,Low,Warm,Relaxation,Medium (4-7 days),Resort,Flight,Moderate,Vegan,Couple,Finland
1964,61,Other,Medium,Warm,Nightlife,Long (8+ days),Airbnb,Flight,High,Non-Vegetarian,Family,Greece
8244,47,Female,Medium,Tropical,Nightlife,Long (8+ days),Guesthouse,Cruise,Low,Vegetarian,Couple,Bali
6591,51,Female,High,Tropical,Relaxation,Long (8+ days),Villa,Car,Moderate,Vegan,Family,Maldives
8848,46,Male,Low,Tropical,Relaxation,Medium (4-7 days),Airbnb,Flight,Low,Vegan,Family,Philippines
322,60,Female,High,Tropical,Relaxation,Short (1-3 days),Villa,Car,High,Vegetarian,Couple,Maldives
2679,44,Male,Low,Cold,Culture,Long (8+ days),Villa,Train,High,Vegetarian,Solo,Philippines
4626,39,Male,Medium,Tropical,Culture,Medium (4-7 days),Resort,Train,Moderate,Non-Vegetarian,Solo,Iceland
4950,63,Other,Low,Tropical,Adventure,Medium (4-7 days),Hotel,Train,High,Vegan,Solo,Indonesia
8329,35,Male,Low,Warm,Adventure,Medium (4-7 days),Hotel,Train,Low,Vegetarian,Family,Thailand
3338,22,Other,Low,Cold,Nature,Short (1-3 days),Hotel,Train,High,Vegan,Family,Iceland
5590,34,Other,Medium,Tropical,History,Short (1-3 days),Guesthouse,Train,High,Vegan,Family,Thailand
252,52,Other,Medium,Tropical,Culture,Long (8+ days),Airbnb,Train,High,Non-Vegetarian,Family,Brazil
3974,44,Female,Medium,Warm,History,Long (8+ days),Hotel,Train,Moderate,Vegan,Family,Egypt
6631,27,Male,Low,Tropical,History,Medium (4-7 days),Airbnb,Car,Low,Vegetarian,Couple,Canada
5548,25,Male,High,Warm,Culture,Long (8+ days),Hotel,Car,High,Non-Vegetarian,Solo,Greece
36,18,Female,High,Tropical,Nightlife,Long (8+ days),Airbnb,Train,Low,Vegan,Couple,Singapore
8363,60,Other,Low,Tropical,Nature,Medium (4-7 days),Hotel,Car,High,Vegetarian,Solo,Mexico
1514,32,Other,Medium,Tropical,Culture,Medium (4-7 days),Resort,Flight,Low,Vegetarian,Couple,Finland
9318,19,Male,Medium,Warm,Nightlife,Long (8+ days),Hotel,Cruise,Moderate,Vegan,Couple,Greece
40,63,Female,High,Warm,Culture,Medium (4-7 days),Villa,Flight,High,Vegan,Family,Iceland
4820,24,Male,High,Cold,Nature,Long (8+ days),Villa,Train,Moderate,Vegan,Solo,Australia
3466,43,Other,Low,Warm,Relaxation,Medium (4-7 days),Hotel,Cruise,High,Vegetarian,Couple,USA
1761,51,Other,High,Cold,Nature,Medium (4-7 days),Guesthouse,Cruise,High,Vegan,Couple,Costa Rica
2305,65,Male,High,Tropical,Nature,Long (8+ days),Villa,Train,Moderate,Non-Vegetarian,Family,Costa Rica
3724,59,Male,Medium,Cold,Adventure,Long (8+ days),Airbnb,Train,Low,Vegan,Solo,Canada
8285,20,Other,High,Tropical,Culture,Short (1-3 days),Airbnb,Cruise,Low,Vegetarian,Family,New Zealand
4994,51,Male,Low,Warm,Culture,Medium (4-7 days),Guesthouse,Cruise,High,Non-Vegetarian,Couple,Spain
8128,65,Female,Medium,Warm,Adventure,Medium (4-7 days),Airbnb,Train,High,Vegetarian,Family,Brazil
3033,59,Male,Medium,Tropical,Culture,Medium (4-7 days),Resort,Train,Moderate,Vegan,Family,New Zealand
7939,35,Female,Low,Cold,Nature,Medium (4-7 days),Guesthouse,Cruise,Low,Non-Vegetarian,Solo,Iceland
3040,45,Male,Low,Warm,Relaxation,Medium (4-7 days),Villa,Car,Moderate,Vegan,Family,USA
